 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3277.090716          0.3964          0.1572          0.1572
     1    -3384.767759    -3277.090716          0.2019          0.0408          0.1979
     2    -3384.706129    -3277.090716         -0.1183          0.0140          0.2119
     3    -3384.584960    -3277.090716         -0.0705          0.0050          0.2169
     4    -3384.215755    -3277.090716          0.0671          0.0045          0.2214
     5    -3384.156306    -3277.090716         -0.0178          0.0003          0.2217
     6    -3384.095371    -3277.090716         -0.0085          0.0001          0.2218
     7    -3383.631358    -3277.090716         -0.0200          0.0004          0.2222
     8    -3324.257903    -3277.090716          0.2957          0.0874          0.3096
     9    -3323.916046    -3277.090716          0.1565          0.0245          0.3341
    10    -3323.774643    -3277.090716          0.1002          0.0100          0.3441
    11    -3323.555754    -3277.090716          0.4554          0.2074          0.5515
    12    -3323.402957    -3277.090716         -0.1972          0.0389          0.5904
    13    -3323.278488    -3277.090716         -0.0385          0.0015          0.5919
    14    -3323.188830    -3277.090716         -0.1291          0.0167          0.6086
    15    -3323.082155    -3277.090716          0.1852          0.0343          0.6429
    16    -3322.889471    -3277.090716         -0.0245          0.0006          0.6435
    17    -3322.844311    -3277.090716          0.0593          0.0035          0.6470
    18    -3322.658096    -3277.090716          0.0252          0.0006          0.6476
    19    -3322.411821    -3277.090716          0.1031          0.0106          0.6582
    20    -3322.406310    -3277.090716          0.0365          0.0013          0.6596
    21    -3322.303495    -3277.090716         -0.0655          0.0043          0.6639
    22    -3322.029141    -3277.090716          0.0556          0.0031          0.6670
    23    -3321.749779    -3277.090716         -0.0275          0.0008          0.6677
    24    -3313.072679    -3277.090716         -0.0213          0.0005          0.6682
    25    -3312.306031    -3277.090716          0.0424          0.0018          0.6700
    26    -3311.484417    -3277.090716          0.0485          0.0024          0.6723
    27    -3311.333421    -3277.090716          0.0500          0.0025          0.6748
    28    -3310.340383    -3277.090716         -0.1019          0.0104          0.6852
    29    -3310.040472    -3277.090716         -0.0431          0.0019          0.6871
    30    -3309.939660    -3277.090716         -0.2044          0.0418          0.7288
    31    -3309.604728    -3277.090716          0.0045          0.0000          0.7289
    32    -3309.426504    -3277.090716         -0.0179          0.0003          0.7292
    33    -3309.235615    -3277.090716         -0.2275          0.0518          0.7809
    34    -3309.143675    -3277.090716         -0.1444          0.0209          0.8018
    35    -3308.824728    -3277.090716         -0.0382          0.0015          0.8033
