 Index             RefE       eigenvalue          overlap  overlap-squared           Total
     0    -3385.215620    -3350.590758         -0.7322          0.5361          0.5361
     1    -3384.767759    -3350.590758         -0.3813          0.1454          0.6815
     2    -3384.706129    -3350.590758          0.2141          0.0458          0.7273
     3    -3384.584960    -3350.590758          0.1393          0.0194          0.7467
     4    -3384.215755    -3350.590758         -0.1256          0.0158          0.7625
     5    -3384.156306    -3350.590758          0.0365          0.0013          0.7638
     6    -3384.095371    -3350.590758          0.0171          0.0003          0.7641
     7    -3383.631358    -3350.590758          0.0363          0.0013          0.7654
     8    -3324.257903    -3350.590758          0.2618          0.0685          0.8340
     9    -3323.916046    -3350.590758          0.1457          0.0212          0.8552
    10    -3323.774643    -3350.590758          0.0902          0.0081          0.8633
    11    -3323.555754    -3350.590758          0.2027          0.0411          0.9044
    12    -3323.402957    -3350.590758         -0.0916          0.0084          0.9128
    13    -3323.278488    -3350.590758         -0.0375          0.0014          0.9142
    14    -3323.188830    -3350.590758         -0.0691          0.0048          0.9190
    15    -3323.082155    -3350.590758          0.0845          0.0071          0.9261
    16    -3322.889471    -3350.590758          0.0184          0.0003          0.9265
    17    -3322.844311    -3350.590758         -0.0019          0.0000          0.9265
    18    -3322.658096    -3350.590758          0.0199          0.0004          0.9269
    19    -3322.411821    -3350.590758          0.0620          0.0038          0.9307
    20    -3322.406310    -3350.590758          0.0308          0.0009          0.9317
    21    -3322.303495    -3350.590758         -0.0362          0.0013          0.9330
    22    -3322.029141    -3350.590758          0.0163          0.0003          0.9332
    23    -3321.749779    -3350.590758         -0.0206          0.0004          0.9337
    24    -3313.072679    -3350.590758         -0.0097          0.0001          0.9337
    25    -3312.306031    -3350.590758          0.0219          0.0005          0.9342
    26    -3311.484417    -3350.590758          0.0119          0.0001          0.9344
    27    -3311.333421    -3350.590758          0.0359          0.0013          0.9357
    28    -3310.340383    -3350.590758         -0.0285          0.0008          0.9365
    29    -3310.040472    -3350.590758         -0.0157          0.0002          0.9367
    30    -3309.939660    -3350.590758         -0.1366          0.0187          0.9554
    31    -3309.604728    -3350.590758         -0.0158          0.0003          0.9556
    32    -3309.426504    -3350.590758          0.0143          0.0002          0.9558
    33    -3309.235615    -3350.590758         -0.0563          0.0032          0.9590
    34    -3309.143675    -3350.590758          0.0693          0.0048          0.9638
    35    -3308.824728    -3350.590758         -0.0164          0.0003          0.9641
    36    -3308.756251    -3350.590758         -0.0126          0.0002          0.9642
    37    -3308.680669    -3350.590758         -0.0123          0.0002          0.9644
    38    -3308.182759    -3350.590758          0.0372          0.0014          0.9658
    39    -3306.602743    -3350.590758         -0.1009          0.0102          0.9759
    40    -3295.005559    -3350.590758          0.0028          0.0000          0.9760
    41    -3294.690671    -3350.590758         -0.0016          0.0000          0.9760
    42    -3294.139646    -3350.590758         -0.0023          0.0000          0.9760
    43    -3293.473917    -3350.590758         -0.0063          0.0000          0.9760
    44    -3293.328990    -3350.590758          0.0149          0.0002          0.9762
    45    -3289.588110    -3350.590758          0.0140          0.0002          0.9764
    46    -3289.101876    -3350.590758          0.0202          0.0004          0.9768
    47    -3288.968742    -3350.590758          0.0172          0.0003          0.9771
    48    -3286.925146    -3350.590758          0.0092          0.0001          0.9772
    49    -3286.607919    -3350.590758         -0.0040          0.0000          0.9772
    50    -3286.132352    -3350.590758         -0.0016          0.0000          0.9772
    51    -3285.456257    -3350.590758          0.0163          0.0003          0.9775
    52    -3285.066201    -3350.590758         -0.0223          0.0005          0.9780
    53    -3284.904900    -3350.590758         -0.0059          0.0000          0.9780
    54    -3284.374652    -3350.590758         -0.0010          0.0000          0.9780
    55    -3283.511281    -3350.590758         -0.0523          0.0027          0.9808
    56    -3262.812244    -3350.590758          0.0054          0.0000          0.9808
    57    -3262.665812    -3350.590758          0.0356          0.0013          0.9821
    58    -3262.236596    -3350.590758         -0.0023          0.0000          0.9821
    59    -3262.164748    -3350.590758          0.0028          0.0000          0.9821
    60    -3262.074022    -3350.590758         -0.0132          0.0002          0.9822
    61    -3261.948680    -3350.590758          0.0113          0.0001          0.9824
    62    -3261.492804    -3350.590758          0.0048          0.0000          0.9824
    63    -3261.323137    -3350.590758          0.0009          0.0000          0.9824
    64    -3261.020034    -3350.590758         -0.0049          0.0000          0.9824
    65    -3260.754632    -3350.590758          0.0097          0.0001          0.9825
    66    -3260.665502    -3350.590758         -0.0059          0.0000          0.9826
    67    -3260.508208    -3350.590758         -0.0030          0.0000          0.9826
    68    -3260.426408    -3350.590758         -0.0024          0.0000          0.9826
