 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3346.748270         -0.6610          0.4369          0.4369
     1    -3384.686604    -3346.748270         -0.3550          0.1260          0.5630
     2    -3384.674259    -3346.748270         -0.1936          0.0375          0.6005
     3    -3384.656828    -3346.748270          0.2329          0.0543          0.6547
     4    -3384.166683    -3346.748270         -0.1055          0.0111          0.6659
     5    -3384.151793    -3346.748270         -0.1227          0.0151          0.6809
     6    -3384.137702    -3346.748270          0.0688          0.0047          0.6856
     7    -3383.631600    -3346.748270          0.0366          0.0013          0.6870
     8    -3324.092677    -3346.748270          0.2500          0.0625          0.7495
     9    -3323.716485    -3346.748270         -0.1158          0.0134          0.7629
    10    -3323.566754    -3346.748270          0.0616          0.0038          0.7667
    11    -3323.555854    -3346.748270          0.1001          0.0100          0.7767
    12    -3323.258184    -3346.748270         -0.3392          0.1151          0.8917
    13    -3323.211506    -3346.748270          0.0405          0.0016          0.8934
    14    -3323.110749    -3346.748270          0.0328          0.0011          0.8945
    15    -3323.049397    -3346.748270          0.0264          0.0007          0.8952
    16    -3322.791035    -3346.748270         -0.0983          0.0097          0.9048
    17    -3322.780530    -3346.748270          0.1052          0.0111          0.9159
    18    -3322.744266    -3346.748270         -0.1623          0.0263          0.9422
    19    -3322.694503    -3346.748270         -0.0131          0.0002          0.9424
    20    -3322.292629    -3346.748270          0.0336          0.0011          0.9435
    21    -3322.282352    -3346.748270          0.0346          0.0012          0.9447
    22    -3322.262426    -3346.748270          0.0652          0.0043          0.9490
    23    -3321.807791    -3346.748270          0.0172          0.0003          0.9493
    24    -3313.011776    -3346.748270         -0.0021          0.0000          0.9493
    25    -3312.159585    -3346.748270          0.0029          0.0000          0.9493
    26    -3311.430065    -3346.748270         -0.0127          0.0002          0.9495
    27    -3311.314435    -3346.748270         -0.0038          0.0000          0.9495
    28    -3310.174660    -3346.748270          0.0181          0.0003          0.9498
    29    -3309.915233    -3346.748270          0.0069          0.0000          0.9498
    30    -3309.898918    -3346.748270         -0.1164          0.0135          0.9634
    31    -3309.408416    -3346.748270         -0.0276          0.0008          0.9642
    32    -3309.394598    -3346.748270          0.0253          0.0006          0.9648
    33    -3309.348227    -3346.748270          0.0252          0.0006          0.9654
    34    -3309.271312    -3346.748270          0.1044          0.0109          0.9763
    35    -3308.864037    -3346.748270          0.0312          0.0010          0.9773
    36    -3308.830127    -3346.748270          0.0049          0.0000          0.9773
    37    -3308.755980    -3346.748270          0.0214          0.0005          0.9778
    38    -3308.204893    -3346.748270         -0.0069          0.0000          0.9778
    39    -3306.604695    -3346.748270          0.0509          0.0026          0.9804
    40    -3294.964588    -3346.748270          0.0007          0.0000          0.9804
    41    -3294.649568    -3346.748270         -0.0002          0.0000          0.9804
    42    -3293.969085    -3346.748270         -0.0054          0.0000          0.9805
    43    -3293.461617    -3346.748270         -0.0049          0.0000          0.9805
    44    -3293.448363    -3346.748270         -0.0018          0.0000          0.9805
    45    -3289.206151    -3346.748270         -0.0133          0.0002          0.9807
    46    -3289.196026    -3346.748270          0.0027          0.0000          0.9807
    47    -3289.143893    -3346.748270          0.0038          0.0000          0.9807
    48    -3286.850281    -3346.748270         -0.0020          0.0000          0.9807
    49    -3286.578751    -3346.748270         -0.0015          0.0000          0.9807
    50    -3286.101588    -3346.748270         -0.0007          0.0000          0.9807
    51    -3285.308482    -3346.748270          0.0073          0.0001          0.9807
    52    -3285.055310    -3346.748270         -0.0066          0.0000          0.9808
    53    -3284.898846    -3346.748270         -0.0060          0.0000          0.9808
    54    -3284.476328    -3346.748270         -0.0031          0.0000          0.9808
    55    -3283.512376    -3346.748270         -0.0193          0.0004          0.9812
    56    -3262.399204    -3346.748270         -0.0272          0.0007          0.9820
    57    -3262.356010    -3346.748270          0.0128          0.0002          0.9821
    58    -3262.164420    -3346.748270         -0.0050          0.0000          0.9821
    59    -3261.907173    -3346.748270         -0.0077          0.0001          0.9822
    60    -3261.807431    -3346.748270          0.0027          0.0000          0.9822
    61    -3261.748199    -3346.748270         -0.0020          0.0000          0.9822
    62    -3261.567534    -3346.748270         -0.0020          0.0000          0.9822
    63    -3261.304751    -3346.748270         -0.0005          0.0000          0.9822
    64    -3260.908426    -3346.748270         -0.0064          0.0000          0.9823
    65    -3260.623628    -3346.748270          0.0133          0.0002          0.9824
    66    -3260.614625    -3346.748270         -0.0067          0.0000          0.9825
    67    -3260.462141    -3346.748270          0.0033          0.0000          0.9825
    68    -3260.281035    -3346.748270         -0.0011          0.0000          0.9825
    69    -3260.278071    -3346.748270         -0.0040          0.0000          0.9825
    70    -3260.202265    -3346.748270         -0.0005          0.0000          0.9825
    71    -3260.156733    -3346.748270          0.0034          0.0000          0.9825
    72    -3259.974154    -3346.748270          0.0021          0.0000          0.9825
    73    -3259.958979    -3346.748270         -0.0039          0.0000          0.9825
    74    -3259.909487    -3346.748270         -0.0024          0.0000          0.9825
    75    -3259.726525    -3346.748270          0.0036          0.0000          0.9826
    76    -3259.590201    -3346.748270          0.0009          0.0000          0.9826
    77    -3259.550953    -3346.748270         -0.0028          0.0000          0.9826
    78    -3259.493024    -3346.748270          0.0004          0.0000          0.9826
    79    -3259.339403    -3346.748270          0.0001          0.0000          0.9826
    80    -3254.121438    -3346.748270          0.0039          0.0000          0.9826
    81    -3254.045148    -3346.748270         -0.0050          0.0000          0.9826
    82    -3254.015587    -3346.748270          0.0010          0.0000          0.9826
    83    -3254.002522    -3346.748270          0.0006          0.0000          0.9826
    84    -3253.623252    -3346.748270          0.0071          0.0001          0.9827
    85    -3253.285095    -3346.748270         -0.0020          0.0000          0.9827
