startingPoint
**********************************************************************
		Starting computation		
		25/12/2024 10:50:53		
**********************************************************************

# Inexact Lanczos with 1 guess vectors

target              1763.08 :: target excitation   
L                        10 :: Krylov space        
maxit                    20 :: Maximum Lanczos iterations
econv                 1e-06 :: Eigenvalue convergence
checkFitTol           0.001 :: Checkfit tolerance  
pick       get_pick_function_close_to_sigma.<locals>.pick
solver              gcrotmk :: Linear solver       
ltol1                  0.01 :: Site tolerance:Linear solver
maxIter                  10 :: Iterative solver maximum iterations
lsweep                    5 :: Number of DMRG sweeps: Linear solver
ltol2                  0.05 :: global tolerance:Linear solver
maxD                     10 :: Maximum bond dimension:Linear solver
ftol                  1e-09 :: Fitting Tolerance   
fsweep                 1000 :: Number of sweeps:fitting
maxD                     10 :: Maximum bond dimension:Fitting
Phase                     1 :: Stage of phase calculation

  it      i   nCum       target      EvalueBlock1        residual   time(seconds)
   0      1      1      1763.08   1827.1204497521             inf           44.19
   0      2      2      1763.08   1821.5037556264      4.8175e-04           91.93
   0      3      3      1763.08   1733.6742835389      7.5904e-03          141.88
   0      4      4      1763.08   1822.0407867428      7.5790e-03          180.51
   0      5      5      1763.08   1818.1510929723      3.3372e-04          226.22
   0      6      6      1763.08   1775.4382526631      3.6781e-03          282.56
   0      7      7      1763.08   1800.1325054106      2.1219e-03          336.48
   0      8      8      1763.08   1780.6790700106      1.6744e-03          392.35
   0      9      9      1763.08   1762.7636017425      1.5444e-03          442.08
   1      1     10      1763.08   1833.7936221096      1.5444e-03          518.21
   1      2     11      1763.08   1821.8138816750      1.0275e-03          567.93
   1      3     12      1763.08   1768.9435205739      4.5553e-03          611.48
   1      4     13      1763.08   1819.4862893288      4.3359e-03          667.53
   1      5     14      1763.08   1772.3764332376      4.0578e-03          720.19
   1      6     15      1763.08   1729.2485811921      3.7286e-03          770.82
   1      7     16      1763.08   1817.2667860597      7.5522e-03          826.89
   1      8     17      1763.08   1740.5133328420      6.6293e-03          897.34
   1      9     18      1763.08   1817.1734143520      6.5777e-03          952.12
   2      1     19      1763.08   1819.6314189895      6.5777e-03         1004.01
   2      2     20      1763.08   1780.0707348820      3.4053e-03         1106.82
   2      3     21      1763.08   1819.5147563879      3.3837e-03         1168.38
   2      4     22      1763.08   1819.4866758389      2.4089e-06         1215.22
   2      5     23      1763.08   1712.8674497244      9.2309e-03         1269.82
   2      6     24      1763.08   1819.4491273710      9.1433e-03         1318.31
   2      7     25      1763.08   1730.4491388561      7.6937e-03         1390.24
   2      8     26      1763.08   1819.4533436357      7.6353e-03         1443.42
