 Index             RefE       eigenvalue          overlap  overlap-squared            Total
     0    -3385.192239    -3307.220084         -0.0033          0.0000          0.0000
     1    -3384.686604    -3307.220084         -0.0058          0.0000          0.0000
     2    -3384.674259    -3307.220084         -0.0006          0.0000          0.0000
     3    -3384.656828    -3307.220084         -0.0014          0.0000          0.0000
     4    -3384.166683    -3307.220084         -0.0020          0.0000          0.0001
     5    -3384.151793    -3307.220084         -0.0015          0.0000          0.0001
     6    -3384.137702    -3307.220084         -0.0009          0.0000          0.0001
     7    -3383.631600    -3307.220084          0.0005          0.0000          0.0001
     8    -3324.092677    -3307.220084         -0.2267          0.0514          0.0515
     9    -3323.716485    -3307.220084          0.0821          0.0067          0.0582
    10    -3323.566754    -3307.220084         -0.0692          0.0048          0.0630
    11    -3323.555854    -3307.220084         -0.1002          0.0100          0.0730
    12    -3323.258184    -3307.220084          0.0700          0.0049          0.0779
    13    -3323.211506    -3307.220084         -0.0285          0.0008          0.0787
    14    -3323.110749    -3307.220084         -0.0347          0.0012          0.0799
    15    -3323.049397    -3307.220084         -0.0361          0.0013          0.0812
    16    -3322.791035    -3307.220084          0.0254          0.0006          0.0819
    17    -3322.780530    -3307.220084         -0.0132          0.0002          0.0821
    18    -3322.744266    -3307.220084          0.0256          0.0007          0.0827
    19    -3322.694503    -3307.220084          0.0130          0.0002          0.0829
    20    -3322.292629    -3307.220084         -0.0027          0.0000          0.0829
    21    -3322.282352    -3307.220084         -0.0083          0.0001          0.0830
    22    -3322.262426    -3307.220084         -0.0177          0.0003          0.0833
    23    -3321.807791    -3307.220084         -0.0029          0.0000          0.0833
    24    -3313.011776    -3307.220084          0.0019          0.0000          0.0833
    25    -3312.159585    -3307.220084         -0.0048          0.0000          0.0833
    26    -3311.430065    -3307.220084         -0.0017          0.0000          0.0833
    27    -3311.314435    -3307.220084          0.0079          0.0001          0.0834
    28    -3310.174660    -3307.220084          0.0014          0.0000          0.0834
    29    -3309.915233    -3307.220084         -0.0024          0.0000          0.0834
    30    -3309.898918    -3307.220084         -0.7457          0.5561          0.6395
    31    -3309.408416    -3307.220084         -0.3441          0.1184          0.7579
    32    -3309.394598    -3307.220084          0.2762          0.0763          0.8342
    33    -3309.348227    -3307.220084         -0.0347          0.0012          0.8354
    34    -3309.271312    -3307.220084          0.3137          0.0984          0.9338
    35    -3308.864037    -3307.220084          0.1564          0.0245          0.9583
    36    -3308.830127    -3307.220084          0.1290          0.0166          0.9749
    37    -3308.755980    -3307.220084          0.0953          0.0091          0.9840
    38    -3308.204893    -3307.220084         -0.0492          0.0024          0.9864
    39    -3306.604695    -3307.220084          0.0864          0.0075          0.9939
    40    -3294.964588    -3307.220084         -0.0076          0.0001          0.9939
    41    -3294.649568    -3307.220084          0.0013          0.0000          0.9939
    42    -3293.969085    -3307.220084         -0.0037          0.0000          0.9939
    43    -3293.461617    -3307.220084          0.0016          0.0000          0.9939
    44    -3293.448363    -3307.220084         -0.0012          0.0000          0.9939
    45    -3289.206151    -3307.220084         -0.0021          0.0000          0.9940
    46    -3289.196026    -3307.220084         -0.0116          0.0001          0.9941
    47    -3289.143893    -3307.220084          0.0176          0.0003          0.9944
    48    -3286.850281    -3307.220084          0.0010          0.0000          0.9944
    49    -3286.578751    -3307.220084         -0.0034          0.0000          0.9944
    50    -3286.101588    -3307.220084          0.0049          0.0000          0.9944
    51    -3285.308482    -3307.220084          0.0055          0.0000          0.9945
    52    -3285.055310    -3307.220084          0.0006          0.0000          0.9945
    53    -3284.898846    -3307.220084         -0.0386          0.0015          0.9960
    54    -3284.476328    -3307.220084         -0.0147          0.0002          0.9962
    55    -3283.512376    -3307.220084         -0.0078          0.0001          0.9962
    56    -3262.399204    -3307.220084          0.0072          0.0001          0.9963
    57    -3262.356010    -3307.220084         -0.0048          0.0000          0.9963
    58    -3262.164420    -3307.220084          0.0019          0.0000          0.9963
    59    -3261.907173    -3307.220084          0.0022          0.0000          0.9963
    60    -3261.807431    -3307.220084         -0.0017          0.0000          0.9963
    61    -3261.748199    -3307.220084          0.0010          0.0000          0.9963
    62    -3261.567534    -3307.220084          0.0004          0.0000          0.9963
    63    -3261.304751    -3307.220084          0.0003          0.0000          0.9963
    64    -3260.908426    -3307.220084         -0.0021          0.0000          0.9963
    65    -3260.623628    -3307.220084          0.0032          0.0000          0.9963
    66    -3260.614625    -3307.220084         -0.0006          0.0000          0.9963
    67    -3260.462141    -3307.220084          0.0009          0.0000          0.9963
    68    -3260.281035    -3307.220084         -0.0005          0.0000          0.9963
    69    -3260.278071    -3307.220084         -0.0014          0.0000          0.9963
    70    -3260.202265    -3307.220084          0.0005          0.0000          0.9963
    71    -3260.156733    -3307.220084         -0.0003          0.0000          0.9963
    72    -3259.974154    -3307.220084         -0.0000          0.0000          0.9963
    73    -3259.958979    -3307.220084          0.0009          0.0000          0.9963
    74    -3259.909487    -3307.220084         -0.0007          0.0000          0.9963
    75    -3259.726525    -3307.220084         -0.0007          0.0000          0.9963
    76    -3259.590201    -3307.220084         -0.0002          0.0000          0.9963
    77    -3259.550953    -3307.220084         -0.0002          0.0000          0.9963
    78    -3259.493024    -3307.220084          0.0002          0.0000          0.9963
    79    -3259.339403    -3307.220084         -0.0002          0.0000          0.9963
    80    -3254.121438    -3307.220084          0.0065          0.0000          0.9964
    81    -3254.045148    -3307.220084         -0.0031          0.0000          0.9964
    82    -3254.015587    -3307.220084          0.0027          0.0000          0.9964
    83    -3254.002522    -3307.220084          0.0012          0.0000          0.9964
    84    -3253.623252    -3307.220084          0.0008          0.0000          0.9964
    85    -3253.285095    -3307.220084         -0.0003          0.0000          0.9964
    86    -3253.098297    -3307.220084          0.0082          0.0001          0.9965
    87    -3252.995172    -3307.220084         -0.0015          0.0000          0.9965
    88    -3252.702728    -3307.220084          0.0006          0.0000          0.9965
    89    -3252.630730    -3307.220084          0.0032          0.0000          0.9965
    90    -3252.428405    -3307.220084         -0.0000          0.0000          0.9965
    91    -3251.122748    -3307.220084          0.0028          0.0000          0.9965
    92    -3249.772985    -3307.220084         -0.0001          0.0000          0.9965
    93    -3249.360219    -3307.220084          0.0001          0.0000          0.9965
    94    -3248.527536    -3307.220084          0.0002          0.0000          0.9965
    95    -3247.889377    -3307.220084          0.0000          0.0000          0.9965
    96    -3247.742175    -3307.220084         -0.0009          0.0000          0.9965
    97    -3247.503460    -3307.220084          0.0017          0.0000          0.9965
    98    -3247.479025    -3307.220084          0.0003          0.0000          0.9965
    99    -3246.755572    -3307.220084          0.0137          0.0002          0.9967
   100    -3246.730679    -3307.220084          0.0007          0.0000          0.9967
   101    -3246.352127    -3307.220084         -0.0029          0.0000          0.9967
