 Index           refE        overlap  overlap-squared            Total
     0   -3385.192239         0.0529           0.0028           0.0028
     1   -3384.686604         0.0287           0.0008           0.0036
     2   -3384.674259         0.0150           0.0002           0.0039
     3   -3384.656828        -0.0195           0.0004           0.0042
     4   -3384.166683         0.0083           0.0001           0.0043
     5   -3384.151793         0.0104           0.0001           0.0044
     6   -3384.137702        -0.0056           0.0000           0.0044
     7   -3383.631600        -0.0030           0.0000           0.0045
     8   -3324.092677         0.5727           0.3280           0.3324
     9   -3323.716485        -0.2843           0.0808           0.4132
    10   -3323.566754         0.1310           0.0172           0.4304
    11   -3323.555854         0.2058           0.0424           0.4728
    12   -3323.258184        -0.2496           0.0623           0.5350
    13   -3323.211506         0.0786           0.0062           0.5412
    14   -3323.110749         0.0962           0.0093           0.5505
    15   -3323.049397         0.0550           0.0030           0.5535
    16   -3322.791035        -0.0661           0.0044           0.5579
    17   -3322.780530         0.0598           0.0036           0.5614
    18   -3322.744266        -0.1309           0.0171           0.5786
    19   -3322.694503        -0.0281           0.0008           0.5794
    20   -3322.292629         0.0161           0.0003           0.5796
    21   -3322.282352         0.0222           0.0005           0.5801
    22   -3322.262426         0.0635           0.0040           0.5842
    23   -3321.807791         0.0113           0.0001           0.5843
    24   -3313.011776        -0.0000           0.0000           0.5843
    25   -3312.159585        -0.0013           0.0000           0.5843
    26   -3311.430065        -0.0087           0.0001           0.5844
    27   -3311.314435         0.0017           0.0000           0.5844
    28   -3310.174660         0.0080           0.0001           0.5844
    29   -3309.915233        -0.0000           0.0000           0.5844
    30   -3309.898918        -0.4259           0.1814           0.7658
    31   -3309.408416        -0.1403           0.0197           0.7855
    32   -3309.394598         0.1048           0.0110           0.7965
    33   -3309.348227         0.0045           0.0000           0.7965
    34   -3309.271312         0.2591           0.0671           0.8636
    35   -3308.864037         0.0912           0.0083           0.8719
    36   -3308.830127         0.0352           0.0012           0.8731
    37   -3308.755980         0.0533           0.0028           0.8760
    38   -3308.204893        -0.0202           0.0004           0.8764
    39   -3306.604695         0.0583           0.0034           0.8798
    40   -3294.964588        -0.0008           0.0000           0.8798
    41   -3294.649568         0.0001           0.0000           0.8798
    42   -3293.969085        -0.0133           0.0002           0.8800
    43   -3293.461617        -0.0078           0.0001           0.8800
    44   -3293.448363        -0.0040           0.0000           0.8800
    45   -3289.206151        -0.0394           0.0016           0.8816
    46   -3289.196026         0.0003           0.0000           0.8816
    47   -3289.143893         0.0066           0.0000           0.8816
    48   -3286.850281        -0.0040           0.0000           0.8817
    49   -3286.578751        -0.0049           0.0000           0.8817
    50   -3286.101588        -0.0047           0.0000           0.8817
    51   -3285.308482         0.0187           0.0003           0.8820
    52   -3285.055310        -0.0126           0.0002           0.8822
    53   -3284.898846        -0.0106           0.0001           0.8823
    54   -3284.476328        -0.0038           0.0000           0.8823
    55   -3283.512376        -0.0535           0.0029           0.8852
    56   -3262.399204        -0.1235           0.0153           0.9005
    57   -3262.356010         0.0720           0.0052           0.9056
    58   -3262.164420        -0.0222           0.0005           0.9061
    59   -3261.907173        -0.0365           0.0013           0.9075
    60   -3261.807431         0.0191           0.0004           0.9078
    61   -3261.748199        -0.0111           0.0001           0.9080
    62   -3261.567534        -0.0084           0.0001           0.9080
    63   -3261.304751        -0.0036           0.0000           0.9080
    64   -3260.908426        -0.0035           0.0000           0.9081
    65   -3260.623628         0.0090           0.0001           0.9081
    66   -3260.614625        -0.0141           0.0002           0.9083
    67   -3260.462141         0.0025           0.0000           0.9083
    68   -3260.281035        -0.0007           0.0000           0.9083
    69   -3260.278071         0.0061           0.0000           0.9084
    70   -3260.202265        -0.0060           0.0000           0.9084
    71   -3260.156733         0.0148           0.0002           0.9086
    72   -3259.974154         0.0057           0.0000           0.9087
    73   -3259.958979        -0.0181           0.0003           0.9090
    74   -3259.909487         0.0016           0.0000           0.9090
    75   -3259.726525         0.0066           0.0000           0.9090
    76   -3259.590201         0.0037           0.0000           0.9091
    77   -3259.550953        -0.0016           0.0000           0.9091
    78   -3259.493024        -0.0003           0.0000           0.9091
    79   -3259.339403         0.0024           0.0000           0.9091
    80   -3254.121438         0.0074           0.0001           0.9091
    81   -3254.045148        -0.0067           0.0000           0.9092
    82   -3254.015587         0.0023           0.0000           0.9092
    83   -3254.002522         0.0016           0.0000           0.9092
    84   -3253.623252        -0.0047           0.0000           0.9092
    85   -3253.285095         0.0017           0.0000           0.9092
    86   -3253.098297         0.0130           0.0002           0.9094
    87   -3252.995172        -0.0021           0.0000           0.9094
    88   -3252.702728        -0.0048           0.0000           0.9094
    89   -3252.630730         0.0022           0.0000           0.9094
    90   -3252.428405        -0.0014           0.0000           0.9094
    91   -3251.122748         0.0073           0.0001           0.9095
    92   -3249.772985         0.0019           0.0000           0.9095
    93   -3249.360219         0.0007           0.0000           0.9095
    94   -3248.527536        -0.0001           0.0000           0.9095
    95   -3247.889377        -0.0000           0.0000           0.9095
    96   -3247.742175         0.0113           0.0001           0.9096
    97   -3247.503460        -0.0182           0.0003           0.9099
    98   -3247.479025         0.0034           0.0000           0.9099
    99   -3246.755572         0.0058           0.0000           0.9100
   100   -3246.730679         0.0040           0.0000           0.9100
   101   -3246.352127        -0.0023           0.0000           0.9100
   102   -3246.224469         0.0010           0.0000           0.9100
   103   -3246.195911         0.0039           0.0000           0.9100
   104   -3246.172002         0.0017           0.0000           0.9100
   105   -3246.053013        -0.0019           0.0000           0.9100
   106   -3245.953610         0.0146           0.0002           0.9102
   107   -3245.895239        -0.0027           0.0000           0.9102
