startingPoint
**********************************************************************
		Starting computation		
		18/12/2024 11:58:00		
**********************************************************************

# Inexact Lanczos with 1 guess vectors

target             -3306.00 :: target excitation   
L                        10 :: Krylov space        
maxit                    20 :: Maximum Lanczos iterations
econv                 1e-16 :: Eigenvalue convergence
checkFitTol           0.001 :: Checkfit tolerance  
pick       get_pick_function_close_to_sigma.<locals>.pick
solver              gcrotmk :: Linear solver       
ltol1                  0.01 :: Site tolerance:Linear solver
maxIter                  10 :: Iterative solver maximum iterations
lsweep                    5 :: Number of DMRG sweeps: Linear solver
ltol2                  0.05 :: global tolerance:Linear solver
maxD                     70 :: Maximum bond dimension:Linear solver
ftol                  1e-09 :: Fitting Tolerance   
fsweep                 1000 :: Number of sweeps:fitting
maxD                     70 :: Maximum bond dimension:Fitting
Phase                     1 :: Stage of phase calculation

  it      i   nCum       target      EvalueBlock1        residual   time(seconds)
   0      1      1     -3306.00  -3307.0166127096             inf         2656.37
   0      2      2     -3306.00  -3307.2200839140      6.1523e-05         5376.27
   0      3      3     -3306.00  -3307.3251992381      3.1783e-05         9130.74
   0      4      4     -3306.00  -3307.3252074137      2.4720e-09        14056.19
   0      5      5     -3306.00  -3307.3252098919      7.4930e-10        19419.29
   0      6      6     -3306.00  -3307.3252102315      1.0268e-10        24282.28
   0      7      7     -3306.00  -3307.3252607832      1.5285e-08        30168.80
   0      8      8     -3306.00  -3307.3267261076      4.4305e-07        35324.34
   0      9      9     -3306.00  -3307.3260995332      1.8945e-07        39569.54
   1      1     10     -3306.00  -3308.0686260730      1.8945e-07        43577.71
   1      2     11     -3306.00  -3308.0928236031      7.3146e-06        47833.89
   1      3     12     -3306.00  -3306.2848807828      5.4682e-04        50727.39
   1      4     13     -3306.00  -3306.3226766887      1.1431e-05        54843.10
   1      5     14     -3306.00  -3306.3237811862      3.3406e-07        59403.00
   1      6     15     -3306.00  -3306.3881818385      1.9478e-05        64170.38
   1      7     16     -3306.00  -3306.3881962998      4.3737e-09        68471.32
   1      8     17     -3306.00  -3306.3889551297      2.2950e-07        72019.26
   1      9     18     -3306.00  -3306.4031806544      4.3024e-06        76727.13
   2      1     19     -3306.00  -3307.6629846759      4.3024e-06        83264.98
   2      2     20     -3306.00  -3307.6771315988      4.2770e-06        87365.35
   2      3     21     -3306.00  -3307.6642886144      3.8828e-06        91294.58
   2      4     22     -3306.00  -3307.6643688337      2.4253e-08        95478.09
   2      5     23     -3306.00  -3307.6651102516      2.2415e-07        99904.66
   2      6     24     -3306.00  -3307.6658466278      2.2263e-07       103784.78
   2      7     25     -3306.00  -3307.6690359591      9.6422e-07       109654.93
   2      8     26     -3306.00  -3307.3677359499      9.1100e-05       113970.21
   2      9     27     -3306.00  -3307.6625899046      8.9143e-05       120009.65
   3      1     28     -3306.00  -3307.5680107246      8.9143e-05       124861.10
   3      2     29     -3306.00  -3305.6909269620      5.6783e-04       128441.19
   3      3     30     -3306.00  -3307.5688287042      5.6776e-04       132431.34
   3      4     31     -3306.00  -3307.5705953442      5.3412e-07       135468.52
   3      5     32     -3306.00  -3307.5733770381      8.4101e-07       139442.32
   3      6     33     -3306.00  -3307.5933035116      6.0245e-06       143065.92
   3      7     34     -3306.00  -3307.3404437385      7.6454e-05       146052.99
   3      8     35     -3306.00  -3307.3548165540      4.3457e-06       150551.51
   3      9     36     -3306.00  -3307.3763109042      6.4989e-06       154149.58
   4      1     37     -3306.00  -3304.4675178013      6.4989e-06       165194.40
   4      2     38     -3306.00  -3302.8803583859      4.8054e-04       168542.07
   4      3     39     -3306.00  -3303.2940439186      1.2523e-04       171636.17
   4      4     40     -3306.00  -3304.5815317175      3.8961e-04       174590.88
   4      5     41     -3306.00  -3304.6970273168      3.4949e-05       179500.24
   4      6     42     -3306.00  -3304.7549532774      1.7528e-05       183613.81
   4      7     43     -3306.00  -3304.7604876573      1.6747e-06       188084.39
   4      8     44     -3306.00  -3304.7977249797      1.1268e-05       192753.30
   4      9     45     -3306.00  -3306.2440393436      4.3745e-04       197206.71
   5      1     46     -3306.00  -3314.5900820239      4.3745e-04       204234.52
   5      2     47     -3306.00  -3298.8975006255      4.7569e-03       208489.37
   5      3     48     -3306.00  -3300.3544291579      4.4145e-04       212926.43
   5      4     49     -3306.00  -3303.4145259966      9.2634e-04       216347.66
   5      5     50     -3306.00  -3303.8255139627      1.2440e-04       220330.16
   5      6     51     -3306.00  -3303.9050695454      2.4079e-05       225600.61
   5      7     52     -3306.00  -3303.7973552803      3.2603e-05       230280.44
   5      8     53     -3306.00  -3303.8777892230      2.4345e-05       235067.39
   5      9     54     -3306.00  -3304.2538153443      1.1380e-04       240050.97
   6      1     55     -3306.00  -3303.8351646323      1.1380e-04       248138.30
   6      2     56     -3306.00  -3305.6763915523      5.5699e-04       251761.77
   6      3     57     -3306.00  -3305.7906160096      3.4553e-05       255316.31
   6      4     58     -3306.00  -3305.8077101341      5.1709e-06       258671.15
